full_name,sex,profession,hourly_salary,date_of_birth,weight,height,city_of_origin,last_seen,satisfaction_score,sleep_1,sleep_2,sleep_3
Ethan O'Hara,m,server,9.9,7/18/91,81.0,195.0,London,2208-02-22,0.5747126436781609,9.0,7.1,7.7
Arthur Maddison,m,electrician,13.9,10/19/97,87.0,168.0,Vancouver,2208-02-24,0.839080459770115,7.1,6.1,7.6
Julie Proust,f,,16.0,1/12/80,82.0,180.0,Vancouver,2208-02-17,0.8620689655172415,,8.7,7.5
Brandon Burgess,m,trader,14.7,3/15/66,87.0,184.0,Brisbane,2208-02-14,0.6494252873563218,6.9,9.3,6.2
Mary Johnson,f,developer,14.2,,74.0,163.0,Melbourne,2208-02-15,0.8620689655172414,7.3,7.3,6.3
Sean Mikkelsen,m,gardener,10.1,1/20/71,91.0,188.0,Brisbane,2208-02-18,0.41379310344827586,8.1,6.8,7.8
Natalie Bradbury,f,gardener,9.7,10/14/85,72.0,199.0,,2208-02-19,0.41379310344827586,8.8,8.5,7.0
Sarah Lawrence,f,cook,12.0,,79.0,165.0,Manchester,2208-02-21,0.5172413793103448,6.6,5.9,8.8
Larry Jones,m,clerk,16.1,6/1/74,82.0,194.0,Manchester,2208-02-13,0.7758620689655173,8.7,9.0,9.1
Christina Golding,f,police officer,,6/22/84,92.0,164.0,Toronto,,,7.9,6.5,7.8
Victoria Lopez,f,plant worker,10.0,3/26/80,80.0,,Montreal,2208-02-24,0.4597701149425288,8.3,7.3,8.8
William Forster,m,cashier,9.9,11/11/98,68.0,185.0,New York,2208-02-24,0.5574712643678161,9.4,8.3,5.9
Samantha Watson,f,carpenter,14.0,,,174.0,New York,2208-02-17,0.6436781609195402,6.5,6.9,6.8
Danielle Lee,f,cashier,10.0,5/22/73,69.0,179.0,,2208-02-23,0.3620689655172414,9.2,7.7,7.2
Charles Watson,m,plant worker,9.9,9/28/62,71.0,160.0,Birmingham,2208-02-23,0.40804597701149425,8.7,8.7,8.3
Jean Laurie,f,janitor,8.0,3/11/63,79.0,187.0,Seattle,,0.18965517241379315,7.4,7.1,8.5
Doris Anderson,f,cook,12.0,11/1/84,70.0,172.0,Sydney,2208-02-24,0.6551724137931035,7.9,8.2,8.0
Diana Gallager,f,manager,12.3,7/22/66,91.0,163.0,Los Angeles,2208-02-20,0.5689655172413792,6.8,8.2,7.0
Madison Nabokov,f,bartender,11.5,4/11/85,82.0,182.0,New York,2208-02-21,0.6321839080459769,7.6,7.9,7.9
Lauren Burgess,f,,15.0,11/9/65,93.0,188.0,Sydney,2208-02-15,0.660919540229885,8.4,8.1,7.7
William Robinson,m,,10.2,1/23/82,65.0,170.0,Vancouver,2208-02-20,0.4827586206896552,9.1,,7.8
Olivia Mercury,f,electrician,13.5,9/13/88,82.0,185.0,Sydney,2208-02-24,0.7068965517241379,6.9,7.0,
Charlotte Thompson,f,electrician,13.9,6/2/99,93.0,161.0,London,2208-02-22,,5.9,6.8,7.8
Stephanie Robinson,f,developer,13.7,9/3/95,67.0,185.0,Vancouver,2208-02-24,0.7011494252873561,7.9,8.1,9.6
Isabella Kafka,f,bartender,12.0,7/28/85,84.0,168.0,Brisbane,2208-02-20,0.5459770114942529,7.6,8.3,9.0
Alexander Granger,m,cook,,11/20/94,77.0,190.0,London,2208-02-22,0.5804597701149424,7.1,6.9,8.5
Roger Proust,m,manager,11.7,8/16/95,88.0,178.0,Seattle,2208-02-23,0.6436781609195402,9.7,,8.0
Madison Proust,f,janitor,8.3,7/1/71,91.0,197.0,Brisbane,2208-02-24,0.367816091954023,8.4,5.7,8.3
Eugene Williams,m,server,10.2,4/19/83,87.0,181.0,Brisbane,2208-02-21,0.5459770114942528,8.6,7.5,7.5
Donna Griffin,f,cook,11.8,4/26/95,66.0,168.0,Los Angeles,2208-02-24,0.5919540229885057,10.6,9.2,8.5
Arthur Jones,m,plant worker,9.7,1/25/70,75.0,173.0,Toronto,2208-02-13,0.44252873563218387,9.8,7.2,
Justin Carry,m,carpenter,14.2,2/4/89,71.0,179.0,Manchester,2208-02-24,0.6954022988505746,8.2,8.6,9.0
Jordan Hall,m,bookkeeper,15.7,7/14/69,69.0,179.0,Birmingham,2208-02-13,0.7816091954022988,7.6,7.5,6.1
Elizabeth Golding,f,clerk,16.0,,72.0,196.0,Montreal,2208-02-23,0.7413793103448276,6.4,8.1,7.8
Brandon Golding,m,police officer,13.5,5/15/71,87.0,178.0,Seattle,2208-02-24,0.5517241379310345,,7.0,
Kelly Proust,f,plant worker,9.8,3/11/86,93.0,165.0,Seattle,,0.5402298850574713,9.9,8.1,7.7
Amanda Burgess,f,manager,12.0,1/12/74,68.0,165.0,Seattle,2208-02-24,,8.4,7.2,6.8
Barbara Thomas,f,police officer,14.3,6/2/93,88.0,176.0,Montreal,2208-02-24,0.839080459770115,7.8,6.1,8.1
David Clark,m,electrician,14.0,3/13/86,75.0,181.0,Vancouver,2208-02-17,0.6666666666666665,7.4,7.8,8.6
Joseph Roth,m,police officer,13.7,6/25/77,69.0,171.0,Seattle,2208-02-22,0.5977011494252873,7.4,7.9,8.3
Kelly Martin,f,server,10.1,4/10/64,68.0,193.0,Sydney,,0.3160919540229885,5.8,7.2,9.4
Sophia Gallager,f,,9.9,11/25/86,92.0,186.0,Birmingham,2208-02-23,0.4310344827586207,6.4,8.0,
,,trader,15.0,9/21/96,84.0,198.0,Montreal,2208-02-24,0.8390804597701149,7.4,7.4,8.8
Amber Jagger,f,server,10.1,5/10/72,81.0,,Seattle,2208-02-21,0.41954022988505746,6.2,8.2,10.3
Kathryn Laurie,f,hairdresser,15.0,3/1/65,65.0,194.0,Sydney,2208-02-24,0.7183908045977011,8.1,8.2,9.5
Stephanie Williams,,trader,15.2,,68.0,174.0,Melbourne,2208-02-15,0.810344827586207,7.0,7.0,8.1
Brenda Lennon,f,laborer,13.9,5/5/60,69.0,174.0,Brisbane,2208-02-13,0.5114942528735633,8.2,8.2,9.4
Ashley Thompson,f,cook,12.0,3/8/88,74.0,176.0,,2208-02-24,0.67816091954023,6.2,9.2,7.1
Joyce Potter,,cook,11.9,10/5/71,67.0,174.0,London,2208-02-22,0.4597701149425287,7.7,7.9,8.2
,f,electrician,13.9,5/18/75,87.0,164.0,Vancouver,2208-02-15,0.5977011494252874,8.0,9.0,6.9
Scott Johnson,m,carpenter,13.8,1/18/97,,198.0,Sydney,2208-02-16,0.8333333333333335,8.6,8.3,
Zachary Lennon,,clerk,16.3,5/23/67,72.0,169.0,Melbourne,2208-02-17,0.689655172413793,9.1,9.0,8.5
Alan Williams,m,bartender,12.0,3/9/76,69.0,185.0,Manchester,2208-02-23,,10.1,7.2,6.8
Alexis Waters,f,janitor,7.5,3/12/87,86.0,179.0,Brisbane,2208-02-24,0.2988505747126437,8.3,8.3,6.8
Tyler Morrison,m,clerk,16.0,7/8/85,68.0,163.0,Melbourne,2208-02-19,0.7758620689655173,,7.1,7.8
Jessica Mikkelsen,f,developer,14.2,11/17/77,71.0,193.0,Los Angeles,2208-02-12,0.6264367816091954,7.8,7.6,
Aaron Morrison,m,janitor,8.0,2/14/81,,190.0,London,2208-02-17,0.35057471264367823,8.3,8.3,7.5
Janet Nabokov,f,developer,14.2,9/6/63,74.0,190.0,Seattle,2208-02-24,0.6034482758620688,8.0,8.6,7.7
Lisa Lopez,,carpenter,14.3,9/3/75,74.0,188.0,Sydney,2208-02-14,0.6206896551724138,,7.5,9.8
Virginia Hansen,f,cook,11.5,11/2/63,73.0,195.0,London,2208-02-24,0.3908045977011494,7.2,7.0,8.0
Kenneth Lawrence,m,bartender,12.0,9/25/65,85.0,167.0,Sydney,2208-02-24,0.4310344827586207,7.7,7.4,
Dennis Jackson,m,trader,15.0,4/18/66,85.0,193.0,Sydney,2208-02-22,0.6091954022988505,10.5,8.6,8.0
Dorothy Davis,f,trader,14.8,,75.0,177.0,,2208-02-24,0.735632183908046,7.5,8.5,9.0
Michael Joyce,m,plant worker,10.0,4/27/85,72.0,193.0,Los Angeles,,0.5459770114942528,,9.4,6.8
Christian Robinson,m,trader,15.1,2/11/75,67.0,191.0,Toronto,2208-02-12,0.6666666666666666,7.0,7.7,7.8
Peter Lawrence,m,cook,12.2,7/26/95,83.0,174.0,Seattle,2208-02-19,0.6724137931034483,6.9,7.1,6.3
Lawrence Laurie,m,developer,14.0,10/25/87,83.0,168.0,Birmingham,2208-02-13,0.7873563218390806,7.0,,8.5
Heather Woolf,f,cook,12.1,12/9/62,81.0,191.0,,2208-02-24,0.47701149425287354,9.4,8.6,10.1
Barbara Carry,f,carpenter,14.3,9/12/79,92.0,197.0,Manchester,2208-02-16,0.7011494252873565,6.0,,7.4
Jeremy Marquez,m,janitor,8.0,10/5/99,69.0,189.0,New York,2208-02-12,,8.4,7.4,7.1
Lawrence Hansen,m,manager,12.0,5/26/99,81.0,179.0,Montreal,2208-02-23,0.6839080459770115,7.4,,7.3
Ashley Lewis,f,server,9.7,12/7/89,81.0,,Manchester,2208-02-22,0.5517241379310345,7.5,8.2,8.7
Kayla Wilson,f,server,9.8,5/25/84,78.0,177.0,London,,0.5287356321839081,,6.6,8.9
Samantha Jagger,f,trader,15.1,3/6/84,76.0,193.0,Montreal,2208-02-20,0.8333333333333335,7.0,7.4,7.9
Grace Joyce,f,bookkeeper,16.2,8/24/63,78.0,198.0,Birmingham,2208-02-24,0.7183908045977011,7.0,6.6,7.2
Cheryl Huxley,f,carpenter,14.0,9/9/71,81.0,162.0,New York,2208-02-12,0.6954022988505747,7.0,7.4,8.1
Ashley Martin,f,janitor,8.0,4/26/71,88.0,160.0,Vancouver,2208-02-18,0.3505747126436782,8.2,8.0,8.3
Megan Cobain,f,bookkeeper,16.0,12/9/88,74.0,183.0,Vancouver,2208-02-17,0.8505747126436781,6.3,8.0,7.8
,m,police officer,14.0,6/28/84,68.0,190.0,Toronto,2208-02-22,0.7126436781609196,9.2,8.4,8.4
Timothy Huxley,m,carpenter,14.3,6/12/99,70.0,187.0,New York,,0.8735632183908048,8.7,8.2,7.7
,f,cashier,10.0,4/19/89,76.0,185.0,Manchester,2208-02-16,0.4540229885057471,6.1,7.9,8.4
Sharon Robinson,f,gardener,10.3,6/10/72,82.0,193.0,New York,2208-02-23,0.4885057471264368,7.7,7.5,10.4
Ronald Conrad,,trader,14.8,3/28/73,,178.0,Montreal,2208-02-24,0.7528735632183908,8.2,6.9,9.7
James Smith,m,carpenter,14.2,4/17/93,80.0,196.0,Vancouver,2208-02-15,,7.8,6.1,7.4
,m,bartender,12.0,4/19/75,75.0,195.0,Birmingham,2208-02-17,0.5459770114942528,6.8,10.5,9.7
Christine Wilson,f,cook,12.5,10/6/65,89.0,175.0,Toronto,2208-02-24,0.4597701149425288,,9.0,8.6
Grace Perez,f,trader,,8/28/72,90.0,175.0,London,2208-02-24,0.7758620689655173,7.6,7.3,7.8
Kelly Wilson,,trader,15.0,7/19/84,,168.0,Vancouver,2208-02-20,0.7126436781609196,9.0,7.6,8.3
Nicholas Lewis,m,bartender,12.0,7/23/69,82.0,184.0,Melbourne,2208-02-21,0.45402298850574707,8.9,8.3,7.7
Johnny McConaughey,m,cashier,10.5,5/20/97,89.0,169.0,Seattle,2208-02-24,0.5287356321839081,8.0,9.3,
Marilyn Martin,f,electrician,14.2,7/21/84,89.0,186.0,London,2208-02-18,0.7241379310344828,8.9,9.8,8.8
Amber Hansen,f,server,9.7,8/7/79,86.0,,New York,2208-02-15,0.37931034482758624,,9.2,7.5
Katherine Bradbury,f,bartender,11.8,2/20/97,71.0,199.0,Toronto,2208-02-23,0.603448275862069,6.8,8.7,9.3
Andrea Holmes,f,developer,14.5,6/10/70,79.0,180.0,New York,2208-02-23,0.7183908045977011,8.8,8.6,7.3
Billy Watson,m,police officer,14.0,12/9/61,88.0,187.0,Birmingham,2208-02-16,0.5229885057471263,7.9,6.5,6.9
,,,14.0,4/23/65,65.0,196.0,Montreal,2208-02-14,0.6034482758620688,8.0,7.8,6.5
Justin Lawrence,,laborer,13.7,4/10/93,85.0,181.0,Montreal,2208-02-24,,8.4,7.5,8.9
David Jagger,m,laborer,14.2,9/15/94,68.0,182.0,,2208-02-24,0.7241379310344827,8.1,6.4,6.5
Gary Williams,,bookkeeper,16.0,5/16/98,77.0,175.0,Toronto,2208-02-24,0.9080459770114943,8.6,10.8,7.4
Joseph Watson,m,,11.0,3/1/71,82.0,165.0,Sydney,2208-02-24,0.4080459770114943,9.2,9.2,6.8
Isabella Gallager,f,server,10.0,1/1/95,85.0,163.0,,2208-02-24,0.603448275862069,8.2,6.5,7.8
Katherine Lennon,f,manager,11.9,11/21/85,68.0,183.0,Birmingham,2208-02-24,0.6551724137931035,7.6,8.1,6.1
Sarah Johnson,f,cook,,10/1/76,83.0,182.0,,2208-02-12,0.4942528735632184,7.3,9.5,8.5
Larry Hall,m,clerk,15.5,9/27/69,75.0,192.0,Toronto,,0.7126436781609196,8.4,6.9,5.9
Sarah Hernandez,f,bookkeeper,16.0,2/26/81,76.0,199.0,London,2208-02-22,0.810344827586207,8.6,8.2,8.6
Larry Kafka,m,trader,15.5,3/11/68,91.0,160.0,Manchester,2208-02-17,0.7068965517241379,5.5,8.4,6.0
Theresa London,f,developer,14.0,8/13/92,80.0,173.0,Montreal,2208-02-23,0.7011494252873561,9.3,8.2,6.8
Lisa Martin,f,bookkeeper,16.5,4/19/71,,195.0,Sydney,2208-02-24,0.7816091954022988,9.5,,7.1
Joseph Marquez,m,manager,12.0,7/18/83,82.0,165.0,Melbourne,2208-02-24,0.5344827586206897,8.6,10.5,7.3
Laura Huxley,f,bartender,12.0,3/9/83,93.0,169.0,Toronto,2208-02-24,0.5919540229885057,9.4,7.7,7.2
Terry Jagger,m,police officer,13.7,9/4/80,70.0,179.0,New York,2208-02-21,0.614942528735632,7.6,8.7,6.4
Paul Lee,m,janitor,8.0,7/7/91,92.0,168.0,New York,2208-02-13,0.4655172413793104,7.6,7.4,8.8
Harold Dreiser,m,laborer,,2/12/88,69.0,193.0,Montreal,2208-02-23,0.6954022988505747,8.0,8.0,7.2
Nicole Mercury,f,police officer,13.5,7/4/84,81.0,170.0,Seattle,2208-02-24,0.6264367816091955,9.1,6.4,7.9
Kevin Robinson,m,server,9.5,6/20/68,72.0,190.0,Sydney,2208-02-23,0.4195402298850574,6.9,7.4,7.8
Christopher Joyce,m,developer,14.1,5/20/69,83.0,185.0,Manchester,2208-02-13,0.5747126436781609,6.9,7.3,6.6
Nathan Carry,m,manager,11.9,10/27/94,74.0,179.0,Los Angeles,2208-02-22,0.6494252873563218,9.2,6.9,8.2
Nicholas Jackson,m,plant worker,10.2,4/5/96,81.0,168.0,Melbourne,2208-02-22,0.5057471264367817,8.1,8.0,7.5
Andrea Robinson,f,cashier,10.0,3/4/99,90.0,196.0,Los Angeles,2208-02-14,0.5689655172413793,7.6,8.0,8.0
Olivia Jones,f,trader,15.0,8/12/95,90.0,165.0,Los Angeles,2208-02-12,0.7758620689655171,8.4,8.5,7.4
Elizabeth Gallager,f,cashier,10.0,1/14/67,72.0,178.0,Toronto,2208-02-14,0.3275862068965517,7.1,7.6,8.5
Dorothy Thompson,f,carpenter,14.3,4/28/72,,160.0,Manchester,2208-02-20,0.603448275862069,,7.5,8.2
Daniel Huxley,m,cashier,10.0,9/16/63,85.0,166.0,Toronto,2208-02-24,0.41954022988505746,9.6,6.7,7.6
Jack Wright,m,clerk,16.0,5/26/89,77.0,180.0,Brisbane,2208-02-24,,8.1,5.2,8.5
Harold Taylor,m,server,9.5,2/5/71,80.0,172.0,Vancouver,2208-02-13,0.3218390804597701,9.1,7.5,8.3
David O'Hara,m,manager,,2/5/70,65.0,163.0,Seattle,2208-02-24,0.5747126436781609,8.9,7.4,6.4
Russell Wright,m,laborer,14.1,4/7/70,92.0,189.0,Seattle,2208-02-16,0.6954022988505747,,7.7,
Terry Wilson,m,janitor,8.0,2/19/73,73.0,175.0,Melbourne,2208-02-21,0.3620689655172414,9.0,9.5,6.9
Harold Lewis,m,bartender,12.0,3/24/69,72.0,,Toronto,2208-02-23,0.5689655172413792,8.7,9.0,8.6
Ruth Granger,,developer,13.7,,78.0,161.0,Los Angeles,,0.6954022988505747,8.9,9.2,8.2
Jack Holmes,,server,9.7,2/9/67,71.0,195.0,London,2208-02-12,0.36781609195402293,11.2,6.9,6.4
Randy Watson,m,trader,14.7,7/5/65,74.0,,Manchester,2208-02-17,0.5862068965517242,8.6,8.5,7.4
Lauren Anderson,f,electrician,14.1,4/11/68,77.0,162.0,New York,2208-02-18,0.6839080459770115,6.1,7.8,8.4
Gabriel Weasley,m,cashier,9.9,4/11/83,88.0,173.0,Manchester,2208-02-15,0.528735632183908,9.0,8.9,8.8
Sharon Garcia,f,bartender,11.8,6/26/67,66.0,167.0,New York,,0.48850574712643685,6.6,6.7,7.1
Heather Nabokov,f,developer,14.2,4/5/89,73.0,182.0,Birmingham,2208-02-20,0.8103448275862069,8.4,6.0,7.7
,m,developer,13.8,9/20/88,73.0,169.0,Sydney,2208-02-18,0.781609195402299,7.6,8.6,6.2
Shirley Marquez,f,manager,11.9,3/26/60,92.0,197.0,Brisbane,2208-02-24,0.396551724137931,8.7,9.5,6.5
Sandra Griffin,f,janitor,7.8,11/7/82,68.0,185.0,Vancouver,2208-02-24,0.4022988505747127,9.4,8.3,8.9
Albert Thompson,m,manager,,10/10/63,94.0,172.0,Los Angeles,2208-02-14,0.4885057471264368,8.2,7.0,7.8
Terry Johnson,m,gardener,10.0,1/25/75,87.0,176.0,Seattle,2208-02-14,0.4310344827586207,8.8,7.0,6.5
Kevin Radcliffe,m,laborer,13.8,4/25/79,74.0,173.0,Los Angeles,,0.6724137931034484,7.1,5.1,7.2
Beverly Vonnegut,f,laborer,14.0,7/8/86,67.0,192.0,London,2208-02-20,0.6666666666666665,9.4,8.1,8.9
Michael Waters,m,clerk,16.3,,81.0,167.0,Birmingham,2208-02-13,0.896551724137931,9.1,7.3,7.5
Olivia Walker,f,plant worker,10.0,7/11/66,65.0,164.0,Seattle,2208-02-24,0.3218390804597701,7.8,7.3,8.5
Brandon Radcliffe,,,14.0,3/3/95,77.0,178.0,Vancouver,2208-02-19,0.8333333333333333,7.6,9.0,
Mary Weasley,f,plant worker,10.1,10/20/78,87.0,161.0,Los Angeles,2208-02-24,0.5114942528735632,7.6,8.8,8.2
Kenneth Huxley,m,clerk,16.0,9/11/82,91.0,160.0,Montreal,2208-02-18,0.8735632183908048,8.6,6.2,
Jordan Moore,m,bookkeeper,15.7,1/6/65,65.0,195.0,Seattle,2208-02-18,0.7586206896551724,8.9,6.8,9.1
Austin Golding,m,bookkeeper,15.5,12/7/81,65.0,,Seattle,,0.7241379310344828,9.3,6.9,6.8
Donald Jagger,m,laborer,14.0,2/27/87,71.0,181.0,Los Angeles,2208-02-24,,8.8,7.7,9.6
Lisa Lee,f,developer,14.0,4/9/71,66.0,174.0,Manchester,2208-02-23,0.6954022988505747,9.1,7.5,5.6
Gabriel Brown,m,gardener,9.9,5/25/60,71.0,171.0,Montreal,2208-02-15,0.28160919540229884,8.5,9.1,8.0
Hannah Jones,f,laborer,14.0,3/25/66,79.0,183.0,New York,2208-02-17,0.6091954022988505,7.7,6.6,7.7
Joshua McConaughey,m,clerk,,9/19/72,,166.0,New York,2208-02-24,0.7528735632183908,7.7,10.5,7.7
Christopher Thompson,m,trader,14.7,10/26/91,85.0,185.0,Manchester,2208-02-14,0.8505747126436781,8.4,6.2,8.0
George Lawrence,m,manager,12.5,3/1/89,90.0,197.0,Seattle,2208-02-17,0.6551724137931034,7.9,8.0,7.1
Cheryl Woolf,f,trader,15.2,11/17/62,73.0,197.0,Seattle,2208-02-24,0.6551724137931035,9.1,8.3,
Doris Heller,f,janitor,8.1,5/9/99,70.0,175.0,Sydney,2208-02-23,0.4597701149425287,8.6,8.2,7.5
Frank Vonnegut,m,clerk,15.5,11/21/97,74.0,177.0,Seattle,,0.8735632183908046,7.1,8.0,7.3
Keith Holmes,m,trader,15.0,9/14/63,72.0,164.0,Toronto,2208-02-12,0.6494252873563218,4.9,8.1,8.3
Justin Gallager,m,bookkeeper,16.0,7/19/62,83.0,197.0,New York,2208-02-22,0.7586206896551726,7.6,4.9,7.7
Cheryl McConaughey,f,clerk,16.0,4/11/61,75.0,180.0,Manchester,2208-02-13,0.7528735632183908,9.0,8.0,8.1
Susan Forster,f,,13.5,6/17/78,92.0,177.0,Birmingham,2208-02-22,0.5919540229885057,8.1,7.1,9.2
Nicholas Waters,m,police officer,14.0,12/24/73,80.0,167.0,Manchester,2208-02-18,0.7068965517241379,8.7,9.2,9.7
Helen Lawrence,,laborer,13.8,11/18/98,65.0,,Melbourne,,0.839080459770115,7.9,,7.5
Judy Jones,f,,16.2,1/11/87,90.0,168.0,Los Angeles,2208-02-24,0.7988505747126435,8.8,9.5,8.9
,m,trader,15.0,9/15/91,65.0,196.0,London,2208-02-21,0.8103448275862069,6.2,7.1,7.3
Sara Williams,f,janitor,8.5,11/2/88,82.0,189.0,Sydney,2208-02-23,0.41954022988505746,7.4,8.7,7.6
Ann Lawrence,f,carpenter,14.5,5/5/69,74.0,187.0,Sydney,2208-02-24,,9.4,6.7,8.5
Vincent Robinson,m,plant worker,10.0,7/15/65,65.0,161.0,Vancouver,2208-02-24,0.3160919540229885,9.4,,6.7
Jacob Roth,m,electrician,13.8,5/21/96,70.0,191.0,Birmingham,2208-02-24,0.7126436781609196,9.4,7.4,
Thomas Williams,m,janitor,8.1,6/18/63,91.0,189.0,Montreal,2208-02-13,0.1954022988505747,7.4,8.7,8.0
Margaret Nabokov,f,cook,12.5,1/4/68,67.0,174.0,New York,2208-02-15,0.5919540229885057,9.5,8.3,9.3
Juan Walker,m,bartender,11.5,7/3/90,68.0,197.0,Birmingham,2208-02-12,0.660919540229885,7.5,7.3,7.0
Mary Lennon,f,janitor,7.8,10/23/98,65.0,177.0,New York,2208-02-17,0.37931034482758624,9.1,7.3,7.4
David Bradbury,m,clerk,16.5,11/8/80,85.0,191.0,Los Angeles,2208-02-13,0.8908045977011495,9.4,6.1,9.8
Vincent London,m,clerk,15.7,5/11/60,84.0,170.0,Brisbane,2208-02-17,,8.3,7.5,7.6
Willie Conrad,m,gardener,9.7,1/24/61,84.0,,London,2208-02-12,0.3908045977011494,9.6,7.6,7.7
Alexis Griffin,f,electrician,14.0,1/19/82,78.0,160.0,Seattle,2208-02-23,0.7011494252873564,7.7,7.5,7.5
Jerry Clark,m,trader,15.2,3/24/88,71.0,177.0,Los Angeles,,0.8045977011494252,8.7,,7.6
Evelyn Lewis,f,laborer,13.9,5/11/64,75.0,193.0,London,2208-02-24,0.5344827586206898,7.6,10.0,8.8
Kayla Lopez,f,,12.0,11/4/73,70.0,,Melbourne,2208-02-14,0.5919540229885057,,7.0,7.9
Henry Clark,m,janitor,8.0,7/16/85,66.0,196.0,Vancouver,2208-02-24,0.3735632183908046,8.0,6.8,5.9
Alan Jones,m,cook,12.0,9/19/71,81.0,167.0,Melbourne,2208-02-12,0.5804597701149425,7.9,7.8,8.5
Catherine Weasley,f,server,10.0,8/17/94,89.0,161.0,Montreal,2208-02-24,0.5977011494252874,8.3,8.8,8.0
Samuel Johnson,m,plant worker,9.5,4/8/66,89.0,166.0,Sydney,2208-02-24,0.40804597701149414,8.4,5.9,7.7
Steven Maddison,m,plant worker,10.0,4/16/75,87.0,172.0,Montreal,2208-02-13,0.3735632183908046,8.8,9.0,8.3
Denise Nabokov,,bartender,11.9,7/22/62,77.0,167.0,Sydney,2208-02-15,0.40804597701149425,,7.9,7.3
Bryan Forster,m,clerk,16.0,12/22/71,75.0,165.0,Seattle,2208-02-15,0.6954022988505747,7.7,7.7,7.5
Amanda Maddison,f,cook,12.1,5/26/60,72.0,176.0,Manchester,2208-02-18,,7.2,8.9,
Ronald Golding,m,carpenter,13.5,5/14/81,81.0,195.0,New York,2208-02-23,,7.9,,10.0
Andrea Mercury,f,developer,14.0,9/19/68,,181.0,London,2208-02-14,0.6206896551724137,7.9,10.1,6.3
Anthony Laurie,m,electrician,14.0,1/13/88,88.0,181.0,Birmingham,2208-02-18,0.793103448275862,7.7,6.9,8.2
Amy Laurie,f,carpenter,14.2,,85.0,173.0,Los Angeles,2208-02-20,0.7471264367816091,8.2,7.8,7.7
Harold Walker,m,trader,15.5,3/14/84,85.0,193.0,,2208-02-22,0.7988505747126438,8.4,8.1,6.9
Benjamin Lawrence,m,electrician,14.0,9/19/90,89.0,163.0,New York,2208-02-24,0.8045977011494252,7.4,7.4,8.1
Russell White,m,police officer,14.0,5/6/99,82.0,168.0,London,2208-02-19,,7.4,8.8,9.9
Paul Garcia,m,electrician,13.8,6/11/69,79.0,170.0,Seattle,2208-02-12,0.5574712643678161,8.0,7.1,9.5
Deborah Thompson,f,clerk,16.0,11/14/65,89.0,171.0,Sydney,2208-02-18,0.7758620689655173,7.4,8.1,8.9
Margaret Clark,f,bartender,12.0,,77.0,190.0,Toronto,2208-02-16,0.5459770114942528,9.0,7.5,7.5
Lauren Vonnegut,f,,12.0,9/4/94,94.0,193.0,Montreal,2208-02-15,0.7126436781609196,9.3,7.7,8.2
Melissa Salinger,f,carpenter,13.5,12/1/83,70.0,171.0,Los Angeles,2208-02-24,0.7356321839080461,7.7,7.8,8.3
Michael Huxley,m,manager,12.0,9/26/76,68.0,198.0,Toronto,2208-02-16,0.4942528735632184,9.0,8.0,8.1
Brittany Hernandez,f,trader,15.0,1/28/87,73.0,168.0,Sydney,2208-02-22,0.7873563218390806,5.8,7.9,8.2
Pamela O'Hara,,cook,12.2,10/17/67,93.0,194.0,Brisbane,2208-02-23,0.5114942528735632,7.6,9.2,7.7
Shirley Golding,f,server,10.1,2/12/68,82.0,187.0,Sydney,2208-02-18,0.396551724137931,7.6,,8.9
Jean Weasley,f,,14.5,7/12/69,78.0,,Toronto,2208-02-19,0.5977011494252873,9.8,9.2,7.0
Carl Wright,m,carpenter,14.0,10/4/98,84.0,165.0,New York,2208-02-14,,7.2,10.7,8.0
Brittany Lee,f,electrician,14.0,11/10/81,74.0,176.0,Brisbane,2208-02-17,0.7528735632183908,8.8,7.4,8.3
Brittany Radcliffe,f,bookkeeper,15.9,6/11/71,79.0,186.0,Birmingham,2208-02-20,0.8045977011494254,7.4,8.2,8.4
Anthony Martinez,m,carpenter,13.5,2/20/67,84.0,170.0,Manchester,2208-02-15,,7.2,8.7,7.8
Lauren Clark,f,developer,14.0,12/3/86,73.0,160.0,Birmingham,2208-02-24,0.7241379310344827,,8.4,8.7
Logan Gonzalez,m,bartender,11.8,8/16/84,70.0,164.0,Sydney,2208-02-13,,9.0,6.9,
Gregory Lennon,m,carpenter,14.0,11/8/74,91.0,195.0,,2208-02-24,0.5977011494252873,9.6,9.5,8.3
Gregory Morrison,m,carpenter,14.0,5/10/91,70.0,174.0,Los Angeles,2208-02-22,0.6954022988505746,6.6,8.2,8.4
Denise Williams,f,bookkeeper,16.0,4/2/68,72.0,183.0,Toronto,2208-02-15,0.735632183908046,6.1,,8.2
Julie Radcliffe,f,cook,11.8,2/9/94,89.0,163.0,New York,2208-02-24,0.6436781609195403,8.4,8.2,9.0
Jonathan Fry,,manager,12.1,12/15/72,68.0,167.0,New York,2208-02-24,0.5344827586206896,7.2,7.9,8.6
Nathan Watson,m,laborer,14.0,8/27/81,77.0,163.0,New York,2208-02-22,0.6954022988505747,8.9,7.1,8.8
Brittany Roth,f,laborer,14.0,8/17/75,81.0,191.0,Melbourne,,0.6034482758620688,,7.1,8.5
Robert Williams,m,bookkeeper,,12/16/61,83.0,195.0,Toronto,2208-02-15,0.6896551724137933,6.7,7.1,8.1
Gary Potter,m,bookkeeper,16.0,5/1/99,71.0,166.0,London,2208-02-19,0.9137931034482759,8.4,6.1,9.0
